identifier;coord1_ICRS,J2000/2000_;MagB;MagV;MagR
* del Cnc;08 44 41.0992106 +18 09 15.503395;5.02;3.94;3.16
* 45 Cnc;08 43 12.3294639552 +12 40 51.145063104;6.04;5.65;nan
* 50 Cnc;08 46 56.0189914848 +12 06 35.830080180;5.992;5.885;7.2
* b Cnc;08 44 45.0357084768 +10 04 54.007285728;5.55;5.66;nan
* eps Hya;08 46 46.51223 +06 25 07.6855;4.06;3.38;2.78
* del Hya;08 37 39.3674727912 +05 42 13.635944028;4.144;4.131;nan
* rho Hya;08 48 25.9705759 +05 50 16.128332;4.309;4.337;nan
* sig Hya;08 38 45.4374649 +03 20 29.170097;5.63;4.43;3.54
* eta Hya;08 43 13.4749927 +03 23 55.186711;4.1;4.3;4.37
HD 74794;08 46 02.4758337192 -02 02 55.160895156;6.788;5.685;nan
HD 74988;08 47 14.9858283480 -01 53 49.332833412;5.321;5.279;nan
* F Hya;08 43 40.3734513 -07 14 01.432289;5.441;4.625;nan
* a Hya;08 40 01.4714407944 -12 28 31.349024832;6.397;4.969;nan
* D Hya;08 46 22.5444058272 -13 32 51.805135176;5.22;4.32;3.64
* 9 Hya;08 41 43.3361667432 -15 56 36.187276956;5.918;4.866;nan
HD 73752;08 39 07.8986712999 -22 39 42.828327944;6;5.17;6.38
HD 73752A;08 39 07.941612 -22 39 41.77349;6.17;5.37;nan
* eta Pyx;08 37 52.1527915488 -26 15 18.000453996;5.23;5.27;nan
* zet Pyx;08 39 42.4740344784 -29 33 39.904538472;5.777;4.872;nan
* alf Pyx;08 43 35.5375544 -33 11 10.989788;3.5;3.68;3.76
* bet Pyx;08 40 06.1436306 -35 18 30.065139;4.885;3.954;nan
* sig01 Cnc;08 52 34.6219870200 +32 28 26.972840748;5.874;5.664;nan
* sig02 Cnc;08 56 56.5976788728 +32 54 37.540593648;5.593;5.436;nan
* sig03 Cnc;08 59 32.6545799616 +32 25 06.813504408;6.128;5.22;nan
* rho02 Cnc;08 55 39.6804925248 +27 55 38.935852068;6.229;5.225;nan
* omi02 Cnc;08 57 35.1996769392 +15 34 52.625733024;5.892;5.677;nan
* omi01 Cnc;08 57 14.9496907056 +15 19 21.959760216;5.373;5.22;nan
* alf Cnc;08 58 29.2042107048 +11 51 27.649450080;4.388;4.249;nan
* 60 Cnc;08 55 55.5470446320 +11 37 33.689007588;6.921;5.44;nan
* zet Hya;08 55 23.6261352 +05 56 44.035380;4.1;3.1;2.39
* 14 Hya;08 49 21.7258429872 -03 26 34.891438308;5.22;5.31;nan
HD 76932;08 58 43.9327642391 -16 07 57.817644364;6.39;5.86;nan
HD 76376;08 55 12.4298734560 -18 14 28.289018508;7.084;5.741;nan
HD 76579;08 56 34.1266027104 -16 42 31.496909112;7.483;5.929;nan
* gam Pyx;08 50 31.9228221 -27 42 35.442108;5.27;4.01;3.06
* del Pyx;08 55 31.5672169176 -27 40 54.653564604;5;4.89;nan
HD 75629;08 50 02.2316399856 -29 27 46.797266412;6.804;5.867;nan
HD 75605;08 49 51.4935749448 -32 46 49.933250328;6.059;5.194;nan
HD 201852;21 13 18.9615474048 -36 25 24.701629260;6.932;5.954;nan
HD 203949;21 26 22.8744937632 -37 49 45.949824840;6.826;5.62;nan
HD 208737;21 59 17.9119588992 -38 23 42.342854172;6.497;5.495;nan
* lam Gru;22 06 06.8856828 -39 32 36.065850;5.843;4.458;nan
* mu.01 Gru;22 15 36.9188246184 -41 20 48.345473292;5.595;4.798;nan
* mu.02 Gru;22 16 26.5517539200 -41 37 37.854126516;6.036;5.117;nan
* sig02 Gru;22 36 58.8533540496 -40 35 27.726103608;5.926;5.874;nan
* rho Gru;22 43 29.9765442 -41 24 51.646698;5.854;4.835;nan
HD 218630;23 09 57.3469968176 -42 51 40.470798976;6.299;5.83;nan
* tet Gru;23 06 52.73046 -43 31 13.2857;4.73;4.332;nan
* iot Phe;23 35 04.5603656472 -42 36 54.503275932;4.79;4.71;4.59
* alf Phe;00 26 17.05140 -42 18 21.5539;3.47;2.38;nan
* kap Phe;00 26 12.2013436436 -43 40 47.390371480;4.11;3.94;3.78
HD 4293;00 44 57.0525679464 -42 40 35.612164128;6.207;5.926;nan
* ups Phe;01 07 47.8233278592 -41 29 12.635288484;5.361;5.207;nan
HD 8651;01 24 40.7865339576 -41 29 33.164287944;6.443;5.417;nan
* eta03 For;02 50 40.4067847728 -35 40 33.059880156;6.741;5.472;nan
* eta02 For;02 50 14.7836640936 -35 50 37.023226332;6.84;5.92;nan
* 2 PsA;21 06 24.6772967832 -32 20 29.828250420;6.298;5.196;nan
* gam Mic;21 01 17.4604727 -32 15 27.957367;5.529;4.654;nan
* eps Mic;21 17 56.2839941 -32 10 21.151520;4.771;4.708;nan
* 6 PsA;21 32 14.5697630040 -33 56 40.653538260;6.016;5.958;nan
* gam Gru;21 53 55.7261962 -37 21 53.478974;2.89;3.01;3.06
HD 208321;21 56 22.7706765744 -37 15 13.156637652;5.518;5.443;nan
* nu. Gru;22 28 39.2102482560 -39 07 54.446304108;6.434;5.473;nan
HD 216149;22 51 02.1589579824 -39 09 24.608634876;6.851;5.4;nan
V* DL Gru;23 10 09.7354013520 -40 35 29.567235300;7.53;5.97;nan
HD 219263;23 14 58.6198746888 -41 06 19.420415532;6.942;5.768;nan
* phi Gru;23 18 09.8840454696 -40 49 27.703073964;5.952;5.537;nan
HD 2490;00 28 26.5213084992 -39 54 53.997198336;6.956;5.415;nan
* ksi Scl;01 01 18.2754037248 -38 54 59.502318120;6.773;5.582;nan
HD 10538;01 42 02.9938168848 -36 49 56.293515984;5.693;5.698;nan
* phi For;02 28 01.7031974304 -33 48 39.742346664;5.205;5.123;nan
* lam01 For;02 33 07.0259045640 -34 38 59.881994808;6.967;5.889;nan
* lam02 For;02 36 58.6077493776 -34 34 40.711246464;6.45;5.79;nan
* bet For;02 49 05.4189042528 -32 24 21.232006884;5.45;4.46;3.7
* del Mic;21 06 01.1380301064 -30 07 30.523215864;6.739;5.687;nan
* iot PsA;21 44 56.8096691227 -33 01 32.814560067;4.29;4.34;4.35
* ups PsA;22 08 25.9313202 -34 02 37.824777;6.47;4.99;nan
HD 210271;22 09 55.7011258800 -34 00 53.877609036;5.591;5.371;nan
* bet Scl;23 32 58.2607029954 -37 49 05.825575113;4.28;4.37;4.37
* lam02 Scl;00 44 12.0990327144 -38 25 18.054207912;7.06;5.96;nan
V* AI Scl;01 12 45.4324795320 -37 51 23.319628308;6.216;5.934;nan
HD 9525;01 32 56.0444775768 -36 51 54.845326260;6.504;5.493;nan
HD 10142;01 38 27.4839019872 -36 31 41.700679932;6.991;5.939;nan
* iot01 For;02 36 09.2647944264 -30 02 41.921973528;6.759;5.729;nan
* iot02 For;02 38 18.6613767600 -30 11 38.630657868;6.292;5.829;nan
* 3 PsA;21 13 17.3273025408 -27 37 09.710634540;6.823;5.388;nan
* tet PsA;21 47 44.1499307 -30 53 53.902653;5.058;5.017;nan
* mu. PsA;22 08 23.0113421424 -32 59 18.491668224;4.55;4.5;4.43
* tau PsA;22 10 08.7801946925 -32 32 54.270294310;5.4;4.92;nan
* bet PsA;22 31 30.3303825 -32 20 45.865347;4.3;4.29;4.27
V* VZ PsA;22 38 51.4666589184 -33 04 52.846795092;5.71;5.66;nan
* gam PsA;22 52 31.5301572432 -32 52 31.657761516;4.46;4.51;nan
* gam PsA B;22 52 31.2170952384 -32 52 32.731665708;5.049;5.023;nan
* pi. PsA;23 03 29.8154580840 -34 44 57.895528308;5.402;5.124;nan
* tet Scl;00 11 44.0210769384 -35 07 59.212953084;5.661;5.239;nan
V* R Scl;01 26 58.0939182720 -32 32 35.439234828;9.59;5.72;3.69
* pi. Scl;01 42 08.6293373664 -32 19 37.155166068;6.287;5.256;nan
* pi. For;02 01 14.7228666120 -30 00 06.589273248;6.23;5.35;nan
* mu. For;02 12 54.4699976208 -30 43 25.773757068;5.243;5.26;nan
* ome For;02 33 50.7014978880 -28 13 56.415570096;4.9;4.96;nan
* gam02 For;02 49 54.1826368200 -27 56 31.139469636;5.384;5.377;nan
* 24 Cap;21 07 07.6673269 -25 00 21.079041;6.11;4.5;3.22
* 8 PsA;21 36 10.9737246264 -26 10 17.456756016;5.942;5.725;nan
HD 214122;22 36 35.4401305824 -31 39 49.646890872;6.903;5.808;nan
HD 214690;22 40 22.3051896192 -30 39 31.931211132;7.17;5.89;nan
* del PsA;22 55 56.9001952776 -32 32 22.646172516;5.172;4.208;nan
* gam Scl;23 18 49.4407630 -32 31 55.288965;5.528;4.406;nan
* mu. Scl;23 40 38.1487966248 -32 04 23.247048216;6.268;5.303;nan
HD 344;00 08 03.4868999832 -33 31 45.568976952;6.787;5.662;nan
HD 1187;00 16 08.8667217600 -31 26 47.007367656;6.992;5.642;nan
* eta Scl;00 27 55.6978213752 -33 00 25.797481668;6.45;4.81;3.22
* sig Scl;01 02 26.4310587048 -31 33 07.249770720;5.586;5.501;nan
HD 8498;01 23 30.9578857464 -30 56 44.219130684;7.418;5.819;nan
HD 9377;01 31 43.2543968348 -30 16 59.152435205;6.853;5.788;nan
* nu. For;02 04 29.4386071 -29 17 48.547752;4.52;4.69;4.73
* 6 Eri;02 58 05.7329796168 -23 36 21.637540548;7.148;5.809;nan
* 4 Eri;02 57 23.7665471544 -23 51 43.796057796;5.68;5.45;nan
* zet For;02 59 36.1826515152 -25 16 26.880165012;6.094;5.686;nan
HD 203475;21 23 00.4946935128 -22 40 08.568417072;7.228;5.6;nan
HD 209522;22 04 36.7663467696 -26 49 20.495440812;5.793;5.953;nan
* lam PsA;22 14 18.7512741288 -27 46 00.862864644;5.27;5.43;nan
HD 213135;22 29 46.0543412659 -27 06 26.142280965;6.28;5.95;nan
* eps PsA;22 40 39.3482564136 -27 02 37.015051704;4.071;4.177;nan
* 21 PsA;22 51 20.9384678256 -29 32 10.703677092;6.9;5.987;nan
HD 217484;23 01 19.3854442416 -28 51 14.260484664;6.894;5.542;nan
* alf PsA;22 57 39.04625 -29 37 20.0533;1.25;1.16;1.11
HD 218619;23 09 44.6303456568 -28 05 18.849864984;7.181;5.868;nan
HD 218434;23 08 21.0587090376 -28 49 25.323026880;6.48;5.6;nan
* del Scl;23 48 55.54658 -28 07 48.9745;4.58;4.57;4.53
V* BU Scl;23 59 27.8958580056 -29 29 06.595753668;7.174;5.573;nan
* zet Scl;00 02 19.9270625208 -29 43 13.588516668;4.879;5.022;nan
* iot Scl;00 21 31.1982576576 -28 58 53.292742896;6.169;5.167;nan
HD 3059;00 33 41.0413872624 -29 33 29.799003996;6.806;5.541;nan
* alf Scl;00 58 36.3593029 -29 21 26.824714;4.09;4.27;4.3
* kap For;02 22 32.5904688744 -23 49 00.479863128;5.802;5.198;nan
HD 18071;02 53 35.3223314304 -22 22 34.721642028;6.969;5.931;nan
* chi Cap;21 08 33.6250217616 -21 11 37.214550420;5.32;5.316;nan
* eta Cap;21 04 24.3013240 -19 51 17.971066;5.02;4.84;4.68
* phi Cap;21 15 37.8995516616 -20 39 06.102756432;6.317;5.152;nan
* zet Cap;21 26 40.0263390 -22 24 40.804197;4.75;3.74;3.09
* 33 Cap;21 24 09.5931989472 -20 51 06.731650296;6.535;5.366;nan
* 35 Cap;21 27 14.8216998936 -21 11 46.371643260;7.215;5.76;nan
* b Cap;21 28 43.4007028168 -21 48 25.847136535;5.4;4.5;3.83
* 41 Cap;21 42 00.6970857096 -23 15 46.285843716;6.227;5.24;nan
HD 210848;22 13 44.4335148000 -25 10 51.253593852;6.073;5.584;nan
* 49 Aqr;22 23 30.8488707240 -24 45 45.586166328;6.491;5.527;nan
HD 213986;22 35 36.3757697424 -23 59 27.938860764;6.973;5.964;nan
HD 217303;23 00 05.7892478064 -25 09 51.047833032;6.904;5.656;nan
HD 220096;23 21 15.4989573624 -26 59 12.365460132;6.47;5.656;nan
HD 942;00 13 42.2441779080 -26 01 20.464886712;7.476;5.937;nan
* kap02 Scl;00 11 34.4207187216 -27 47 58.990819164;6.756;5.404;nan
HD 2363;00 27 14.7075649704 -25 32 49.824468996;7.009;5.969;nan
HD 9228;01 30 22.9049716224 -26 12 28.265853852;7.271;5.926;nan
* eps Scl;01 45 38.7571221 -25 03 09.402256;5.7;5.31;nan
* eps Scl A;01 45 38.7670526832 -25 03 09.412853760;5.703;5.34;6.58
* 56 Cet;01 56 40.2026205216 -22 31 36.424867800;6.27;4.85;nan
* tau02 Eri;02 51 02.3218611 -21 00 14.465462;5.67;4.77;4.07
* tet Cap;21 05 56.8278313 -17 13 58.302085;4.06;4.07;4.06
* 30 Cap;21 17 57.2864746704 -17 59 06.499058280;5.263;5.383;nan
* 37 Cap;21 34 51.0522316584 -20 05 03.338901816;6.096;5.696;nan
* eps Cap;21 37 04.8306787 -19 27 57.646354;4.35;4.55;4.6
* 47 Aqr;22 21 35.5681377336 -21 35 53.628410796;6.19;5.124;nan
* 89 Aqr;23 09 54.8973579 -22 27 27.419185;5.5;4.8;nan
* c01 Aqr;23 06 40.8477196320 -23 44 34.764069372;5.37;4.47;nan
HD 319;00 07 46.8995868600 -22 30 30.805174800;6.055;5.923;nan
HD 2696;00 30 22.6550793792 -23 47 15.653410224;5.31;5.19;nan
HD 3443;00 37 20.71960 -24 46 02.1843;6.28;5.57;nan
HD 4398;00 46 11.7559423656 -22 31 19.570596924;6.48;5.5;nan
HD 4732;00 49 13.9502186808 -24 08 11.990652936;6.84;5.9;7.09
HD 5098;00 52 40.6245885024 -24 00 21.035123352;6.76;5.48;nan
* 48 Cet;01 29 36.1356921336 -21 37 45.609971844;5.126;5.104;nan
HD 10148;01 38 51.7885512672 -21 16 31.385508240;5.92;5.58;nan
* 57 Cet;01 59 46.2000016440 -20 49 28.338863052;7.027;5.429;nan
* ups Cet;02 00 00.3091617 -21 04 40.194571;5.58;4.02;2.76
HD 13692;02 13 00.9875390448 -21 00 00.484993512;6.878;5.867;nan
HD 15220;02 26 35.2172447880 -20 02 33.421097076;7.136;5.881;nan
* tau01 Eri;02 45 06.1988006895 -18 34 21.442179919;4.94;4.46;4.03
* 29 Cap;21 15 44.8423435152 -15 10 17.404817304;6.894;5.317;nan
* iot Cap;21 22 14.7956478 -16 50 04.359799;5.18;4.27;3.65
* kap Cap;21 42 39.5080810109 -18 51 58.755183216;5.593;4.726;nan
* gam Cap;21 40 05.4564778 -16 39 44.307184;3.98;3.67;3.47
* 35 Aqr;22 08 58.9903231176 -18 31 10.536229236;5.629;5.793;nan
[SGR85] 37-51 1;22 08 59.0 -18 31 11;5.74;5.84;nan
* ups Aqr;22 34 41.6357860992 -20 42 29.576916972;5.637;5.203;nan
* g Aqr;22 43 35.2330664 -18 49 49.355686;6.06;4.69;nan
* 68 Aqr;22 47 33.1234303320 -19 36 48.149104860;6.2;5.26;nan
HD 217703;23 02 44.2505067936 -20 52 14.562297516;6.946;5.976;nan
* c02 Aqr;23 09 26.7960449399 -21 10 20.694738029;4.87;3.64;2.8
* b01 Aqr;23 22 58.2260607 -20 06 02.096316;5.08;3.98;3.16
* b02 Aqr;23 26 02.7856603 -20 38 31.263033;5.86;4.39;3.27
* b03 Aqr;23 33 16.62300 -20 54 52.2155;4.77;4.758;nan
V* T Cet;00 21 46.2731778 -20 03 28.884826;7.32;5.74;nan
HD 4247;00 44 44.3961246504 -22 00 22.080121164;5.542;5.22;nan
HD 4622;00 48 01.0650058008 -21 43 21.094694328;5.51;5.57;nan
HD 14728;02 22 04.9825705680 -17 39 43.815117960;7.131;5.868;nan
* 42 Cap;21 41 32.8588063853 -14 02 51.404792132;5.83;5.18;nan
* 44 Cap;21 43 04.3970602416 -14 23 58.957012860;6.127;5.879;nan
* 45 Cap;21 44 00.9641305344 -14 44 57.739865388;6.163;5.949;nan
* del Cap;21 47 02.4442395 -16 07 38.233507;3.12;2.83;2.59
* 77 Aqr;22 54 45.4698913584 -16 16 19.046212932;6.7;5.56;nan
HD 219879;23 19 24.1065502560 -18 04 31.345778100;7.483;5.94;nan
* 103 Aqr;23 41 34.4885589720 -18 01 37.467673752;6.909;5.344;nan
* 104 Aqr;23 41 45.8063762520 -17 48 59.515007076;5.65;4.83;4.22
* i01 Aqr;23 44 12.0781022760 -18 16 37.018426728;5.152;5.239;nan
* i03 Aqr;23 51 21.3383201 -18 54 32.993729;5.04;5.18;nan
* 2 Cet;00 03 44.3878420 -17 20 09.571938;4.483;4.536;nan
HD 787;00 12 09.9845643792 -17 56 17.702925108;6.74;5.265;nan
* 7 Cet;00 14 38.4165523 -18 55 58.314488;6.12;4.46;3.06
* bet Cet;00 43 35.37090 -17 59 11.7827;3.02;2.01;1.29
HD 4585;00 47 43.2211914000 -18 03 40.816774404;6.992;5.693;nan
* 49 Cet;01 34 37.7786780856 -15 40 34.898673000;5.667;5.607;nan
* tau Cet;01 44 04.0831371922 -15 56 14.927607677;4.22;3.5;2.88
V* BK Cet;01 52 52.1128452936 -16 55 45.302269584;6.03;5.782;nan
HD 12583;02 02 58.5696126264 -15 18 21.348597708;6.833;5.864;nan
HD 15144;02 26 00.3479612520 -15 20 28.495226652;5.97;5.83;5.71
* sig Cet;02 32 05.2288409 -15 14 40.827782;5.2;4.75;4.34
HD 16825;02 41 34.1146209720 -14 32 57.505105968;6.405;5.974;nan
* pi. Cet;02 44 07.3492803 -13 51 31.313011;4.112;4.236;nan
* nu. Aqr;21 09 35.6488810 -11 22 18.085110;5.46;4.52;3.83
* 18 Aqr;21 24 11.4918118944 -12 52 41.192273892;5.758;5.476;nan
* mu. Cap;21 53 17.7704445429 -13 33 06.366703913;5.45;5.08;nan
* iot Aqr;22 06 26.2274193 -13 52 10.861454;4.2;4.27;4.32
* 42 Aqr;22 16 48.0458126112 -12 49 53.158376496;6.463;5.333;nan
* 45 Aqr;22 19 00.7407950088 -13 18 17.973781488;7.045;5.959;nan
* 50 Aqr;22 24 27.0601648 -13 31 45.728963;6.717;5.752;nan
* tau Aqr;22 49 35.5015682 -13 35 33.476641;5.57;3.98;2.79
* tau01 Aqr;22 47 42.7694661672 -14 03 23.141291904;5.65;5.681;nan
* del Aqr;22 54 39.0062577912 -15 49 14.950434720;3.33;3.28;3.21
* 97 Aqr;23 22 39.17113 -15 02 21.6245;5.43;5.22;nan
HD 221745;23 34 49.3595371536 -15 14 45.608293212;7.306;5.944;nan
* ome01 Aqr;23 39 47.0693895048 -14 13 19.753147128;5.221;4.977;nan
* ome02 Aqr;23 42 43.3453038933 -14 32 41.659905000;4.448;4.484;nan
HD 222643;23 42 27.8224646256 -15 26 52.904214708;6.606;5.257;nan
HD 223559;23 50 33.2847849240 -14 24 05.389129656;7.187;5.691;nan
HD 223774;23 52 29.9906646456 -14 15 04.361833296;7.102;5.848;nan
HD 225197;00 04 19.7908158264 -16 31 44.531826852;6.872;5.769;nan
* 6 Cet;00 11 15.8580395472 -15 28 04.720468404;5.38;4.89;nan
* 46 Cet;01 25 37.2394436400 -14 35 55.626569448;6.138;4.907;nan
* 50 Cet;01 35 58.9697335800 -15 24 00.656206380;6.65;5.402;nan
* rho Cet;02 25 57.0058454304 -12 17 25.707504156;4.841;4.866;nan
* eps Cet;02 39 33.7974128402 -11 52 19.551632148;5.33;4.87;nan
* 17 Aqr;21 22 56.2584620088 -09 19 09.580889064;7.514;5.965;nan
* 19 Aqr;21 25 13.0229792880 -09 44 54.805843428;5.906;5.713;nan
* lam Cap;21 46 32.0971164144 -11 21 57.438820512;5.56;5.567;nan
* e Aqr;22 10 37.4820650 -11 33 53.775377;5.299;5.422;nan
* sig Aqr;22 30 38.8214037672 -10 40 40.505006280;4.73;4.81;4.81
* 74 Aqr;22 53 28.7049178152 -11 36 59.453153568;5.709;5.78;nan
* 94 Aqr;23 19 06.7191981624 -13 27 31.825994400;5.95;5.18;nan
HD 222093;23 37 39.5600002464 -13 03 36.868442292;6.685;5.654;nan
HD 222493;23 41 08.9122868619 -11 40 50.345125880;6.92;5.92;nan
HD 223170;23 47 15.9119280096 -11 54 40.061255796;6.805;5.731;nan
HD 645;00 10 42.8341071816 -12 34 47.633650356;6.861;5.849;nan
HD 4730;00 49 25.6169251248 -13 33 40.575789900;6.925;5.594;nan
* phi03 Cet;00 56 01.4895888936 -11 15 59.493762540;6.852;5.326;nan
* phi04 Cet;00 58 43.8680525208 -11 22 47.910692424;6.566;5.614;nan
* 47 Cet;01 26 51.5647682880 -13 03 23.439954456;5.808;5.505;nan
* chi Cet;01 49 35.1027660619 -10 41 11.070999501;5;4.68;4.38
* zet Cet;01 51 27.6313482264 -10 20 06.111838644;4.86;3.72;2.92
HD 13456;02 11 22.2261677208 -10 03 07.779274956;6.398;5.999;nan
HD 14691;02 22 01.5317023656 -10 46 39.127612368;5.783;5.421;nan
HD 16673;02 40 12.4210104672 -09 27 10.335330216;6.294;5.79;nan
* eta Eri;02 56 25.6494839 -08 53 53.322099;4.99;3.87;3.08
* ksi Aqr;21 37 45.1093071 -07 51 15.129919;4.86;4.69;4.52
* c Cap;21 45 00.2546726928 -09 04 56.739620388;6.189;5.079;nan
* tet Aqr;22 16 50.0366846016 -07 46 59.839473115;5.15;4.16;3.46
HD 211392;22 16 52.5673377144 -09 02 24.197104824;6.956;5.791;nan
* rho Aqr;22 20 11.9165745768 -07 49 15.966995808;5.286;5.339;nan
* psi01 Aqr;23 15 53.4940495770 -09 05 15.844964053;5.36;4.25;3.46
* psi02 Aqr;23 17 54.2137206 -09 10 57.067524;4.26;4.4;4.47
* psi03 Aqr;23 18 57.6766613352 -09 36 38.695365432;4.977;5.003;nan
HD 223524;23 50 14.7296609856 -09 58 26.893348608;7.069;5.936;nan
* h Aqr;23 52 50.5292772144 -08 59 48.328137312;6.925;5.747;nan
HD 360;00 08 17.5324307736 -08 49 26.801843988;7.014;5.98;nan
* 3 Cet;00 04 30.1182732 -10 30 34.284891;6.541;4.924;nan
* iot Cet;00 19 25.6741634 -08 49 26.111055;4.77;3.55;2.7
HD 1064;00 14 54.5154816240 -09 34 10.427208456;5.67;5.749;nan
* phi01 Cet;00 44 11.4001262 -10 36 34.381635;5.773;4.767;nan
* 28 Cet;01 06 05.1486425280 -09 50 21.678755676;5.566;5.565;nan
* 30 Cet;01 07 46.2087548376 -09 47 07.982452284;6.14;5.705;nan
* eta Cet;01 08 35.3914827 -10 10 56.156955;4.61;3.45;2.61
* tet Cet;01 24 01.4052830 -08 10 59.721253;4.65;3.59;2.83
V* AR Cet;02 00 26.8227063 -08 31 25.944968;7.03;5.51;nan
* 77 Cet;02 34 42.6236444496 -07 51 34.002610596;7.126;5.731;nan
* 80 Cet;02 36 00.0478570968 -07 49 53.745797496;7.088;5.535;nan
* 12 Aqr A;21 04 04.7243913096 -05 49 23.014627536;6.71;5.8;6.88
* 15 Aqr;21 18 11.0726992680 -04 31 10.127623692;5.679;5.812;nan
* 16 Aqr;21 21 04.3193286096 -04 33 36.449496684;6.777;5.848;nan
* bet Aqr;21 31 33.5317148 -05 34 16.232006;3.71;2.89;2.29
* 30 Aqr;22 03 16.4581530360 -06 31 20.666466516;6.512;5.543;nan
* 44 Aqr;22 17 06.4995852960 -05 23 13.795642284;6.622;5.751;nan
HD 212320;22 23 32.1500037504 -07 11 39.884201448;6.913;5.907;nan
* lam Aqr;22 52 36.8740445376 -07 34 46.548925356;5.44;3.79;2.37
* 83 Aqr;23 05 09.78684 -07 41 37.6853;5.79;5.47;nan
* phi Aqr;23 14 19.3582404192 -06 02 56.423128812;5.77;4.22;2.94
* chi Aqr;23 16 50.9391613 -07 43 35.402266;6.66;5.06;nan
* 30 Psc;00 01 57.6194717328 -06 00 50.654004048;6.04;4.41;2.85
* 33 Psc;00 05 20.14193 -05 42 27.4279;5.65;4.61;3.83
V* AD Cet;00 14 27.6290894 -07 46 49.898505;6.74;5.12;nan
HD 5384;00 55 42.4001599992 -07 20 49.735392864;7.381;5.85;nan
* 37 Cet;01 14 24.0406960100 -07 55 22.172965574;5.59;5.13;nan
HD 8556;01 24 20.5021369 -06 54 52.773474;6.319;5.918;nan
HD 9562;01 33 42.8357181696 -07 01 31.238801760;6.4;5.76;nan
HD 10824;01 45 59.2598412672 -05 43 59.878345764;6.86;5.34;nan
* 67 Cet;02 16 59.0434344864 -06 25 19.621420896;6.465;5.499;nan
* 21 Aqr;21 25 16.9576764168 -03 33 24.286805352;6.938;5.469;nan
HD 205423;21 35 17.6204922456 -03 58 59.897051112;6.888;5.778;nan
HD 208111;21 54 10.3727585232 -04 16 34.233218436;6.901;5.704;nan
HD 210434;22 10 33.7470786144 -04 16 00.678794592;6.959;5.98;nan
* 51 Aqr;22 24 06.8843328 -04 50 13.269259;5.752;5.779;nan
* kap Aqr;22 37 45.3804916 -04 13 40.993883;6.174;5.03;nan
HD 216718;22 55 10.9616331648 -04 59 16.449139284;6.626;5.757;nan
HD 217563;23 01 31.7091399408 -04 42 41.253528996;6.92;5.933;nan
HD 219402;23 15 34.2574251888 -03 29 46.962267252;5.61;5.55;nan
* 24 Psc;23 52 55.5631886976 -03 09 19.733599044;7.023;5.94;nan
* 27 Psc;23 58 40.3770768 -03 33 21.537918;5.814;4.886;nan
HD 587;00 10 18.8712067968 -05 14 54.916966860;6.828;5.844;nan
* 29 Psc;00 01 49.4481127032 -03 01 39.011820024;4.98;5.1;nan
* 12 Cet;00 30 02.3584197912 -03 57 26.377933896;7.28;5.72;nan
* 13 Cet;00 35 14.87968 -03 35 34.2367;5.748;5.201;nan
HD 3807;00 40 42.3716096304 -04 21 06.625019376;6.985;5.885;nan
* 25 Cet;01 03 02.5369500840 -04 50 11.757188544;6.517;5.408;nan
HD 10550;01 42 43.5115527552 -03 41 24.718341768;6.366;4.982;nan
HD 12642;02 03 40.4889439392 -04 06 12.653704296;7.189;5.609;nan
* 66 Cet;02 12 47.5413483242 -02 23 37.066624087;6.21;5.66;nan
* 81 Cet;02 37 41.8020809760 -03 23 46.225928328;6.674;5.647;nan
HD 18543;02 58 42.0755003544 -02 46 58.429450200;5.23;5.23;nan
* 5 Eri;02 59 41.1602407728 -02 27 53.842132764;5.48;5.55;nan
HD 18331;02 56 37.4241380520 -03 42 44.358934572;5.25;5.16;nan
* 32 Aqr;22 04 47.4224193480 -00 54 22.839762708;5.519;5.271;nan
* omi Aqr;22 03 18.8440292 -02 09 19.306758;4.64;4.69;4.7
* alf Aqr;22 05 47.0359315 -00 19 11.456766;3.9;2.94;2.27
* zet02 Aqr;22 28 49.8888105229 -00 01 11.872738417;4.79;4.34;3.27
* zet01 Aqr;22 28 49.8864208040 -00 01 13.961900362;4.89;4.49;nan
* zet Aqr;22 28 49.90685 -00 01 11.7942;4.06;3.65;nan
* gam Aqr;22 21 39.3715681296 -01 23 14.457098796;3.791;3.834;nan
* 60 Aqr;22 34 02.9137004280 -01 34 27.362001144;6.86;5.875;nan
* 14 Psc;23 34 09.0149355936 -01 14 51.220689108;6.193;5.87;nan
* 20 Psc;23 47 56.5419212784 -02 45 41.752306188;6.433;5.49;nan
* 14 Cet;00 35 32.8334053776 -00 30 20.198722752;6.368;5.936;nan
* 20 Cet;00 53 00.4945225 -01 08 39.331693;6.34;4.76;3.55
* 39 Cet;01 16 36.2879453688 -02 30 01.328624496;6.31;5.428;nan
* 38 Cet;01 14 49.1725004760 -00 58 25.659970248;6.12;5.69;nan
* 34 Cet;01 11 43.5081366480 -02 15 03.880880496;7.345;5.918;nan
* 42 Cet;01 19 48.29589 -00 30 32.5134;6.51;5.87;nan
* 61 Cet;02 03 48.1635791160 -00 20 24.873842976;6.806;5.942;nan
* 63 Cet;02 11 35.8349680056 -01 49 31.536924240;6.903;5.933;nan
* 70 Cet;02 22 12.3954850848 -00 53 05.473534776;5.725;5.421;nan
* 75 Cet;02 32 09.4224095904 -01 02 05.616571164;6.366;5.358;10
* 84 Cet;02 41 13.99720 -00 41 44.3845;6.23;5.71;nan
